TWT,MD,Gamma,General_Discrete
2740.0,2416.302,100.58666666666666,3
2740.5,2416.7593333333334,92.50999999999999,1
2741.0,2417.2163333333333,89.89999999999999,1
2741.5,2417.6736666666666,89.77,1
2742.0,2418.1306666666665,91.48333333333333,1
2742.5,2418.588,89.75333333333333,1
2743.0,2419.0453333333335,95.90666666666665,1
2743.5,2419.5023333333334,97.11000000000001,1
2744.0,2419.9596666666666,97.45333333333333,1
2744.5,2420.493,96.7225,1
2745.0,2421.0263333333332,85.45333333333333,1
2745.5,2421.483666666667,86.31666666666666,1
2746.0,2421.9406666666664,76.08666666666666,1
2746.5,2422.398,67.24000000000001,1
2747.0,2422.8553333333334,64.33333333333333,1
2747.5,2423.3123333333333,71.14999999999999,1
2748.0,2423.769666666667,74.22000000000001,1
2748.5,2424.2266666666665,93.16000000000001,1
2749.0,2424.6839999999997,94.36333333333333,1
2749.5,2425.1413333333335,87.53000000000002,1
2750.0,2425.5983333333334,78.19,1
2750.5,2426.0556666666666,89.58333333333333,1
2751.0,2426.5126666666665,89.42666666666668,1
2751.5,2426.97,92.61666666666667,1
2752.0,2427.5035,102.8575,1
2752.5,2428.036666666667,108.05333333333333,1
2753.0,2428.494,102.24,2
2753.5,2428.951333333333,102.55666666666667,3
2754.0,2429.4083333333333,103.85666666666667,3
2754.5,2429.8656666666666,103.49333333333334,2
2755.0,2430.322666666667,102.32666666666667,1
2755.5,2430.78,100.53000000000002,1
2756.0,2431.237333333333,96.51666666666667,1
2756.5,2431.6943333333334,101.43,1
2757.0,2432.1516666666666,101.50666666666666,1
2757.5,2432.608666666667,101.04,1
2758.0,2433.066,104.92999999999999,1
2758.5,2433.523333333333,103.73666666666666,1
2759.0,2433.9803333333334,102.67333333333333,1
2759.5,2434.51375,90.44,1
2760.0,2435.0473333333334,99.40333333333335,1
2760.5,2435.5043333333333,96.12,1
2761.0,2435.9616666666666,102.70333333333333,3
2761.5,2436.4186666666665,103.88333333333333,3
2762.0,2436.876,103.86333333333333,3
2762.5,2437.3333333333335,102.12333333333333,3
2763.0,2437.7903333333334,99.09666666666668,2
2763.5,2438.2476666666666,100.01666666666667,2
2764.0,2438.7046666666665,97.53333333333335,1
2764.5,2439.1620000000003,98.69999999999999,1
2765.0,2439.6193333333335,101.09666666666665,1
2765.5,2440.076333333333,97.94333333333334,1
2766.0,2440.5336666666667,103.13333333333333,1
2766.5,2440.9906666666666,99.30666666666666,1
2767.0,2441.52425,98.22,1
2767.5,2442.0576666666666,100.99666666666667,1
2768.0,2442.5146666666665,102.55999999999999,1
2768.5,2442.972,104.20333333333332,1
2769.0,2443.4293333333335,100.85333333333334,1
2769.5,2443.8863333333334,103.60666666666667,1
2770.0,2444.3436666666666,109.80666666666667,1
2770.5,2444.8006666666665,108.25,1
2771.0,2445.258,108.88333333333333,1
2771.5,2445.7153333333335,102.96999999999998,1
2772.0,2446.1723333333334,97.91000000000001,1
2772.5,2446.6296666666667,89.08999999999999,1
2773.0,2447.0866666666666,92.13666666666666,1
2773.5,2447.544,95.03000000000002,1
2774.0,2448.0013333333336,98.24666666666667,1
2774.5,2448.5344999999998,97.6525,1
2775.0,2449.0679999999998,96.35333333333334,1
2775.5,2449.5253333333335,95.05333333333333,3
2776.0,2449.9823333333334,97.36333333333334,3
2776.5,2450.4396666666667,97.70666666666666,3
2777.0,2450.8966666666665,99.95333333333333,1
2777.5,2451.354,98.61000000000001,1
2778.0,2451.8113333333336,99.19666666666666,1
2778.5,2452.2683333333334,99.11333333333333,1
2779.0,2452.7256666666667,101.30000000000001,1
2779.5,2453.1826666666666,100.11666666666667,1
2780.0,2453.64,97.80333333333333,1
2780.5,2454.0973333333336,91.74000000000001,1
2781.0,2454.5543333333335,96.86666666666667,1
2781.5,2455.0116666666668,98.21333333333332,1
2782.0,2455.545,98.64999999999999,1
2782.5,2456.0783333333334,104.58333333333333,1
2783.0,2456.5356666666667,94.47333333333334,1
2783.5,2456.992666666667,88.75666666666666,1
2784.0,2457.45,78.37,1
2784.5,2457.907333333333,53.919999999999995,1
2785.0,2458.3643333333334,69.14999999999999,1
2785.5,2458.8216666666667,86.21,1
2786.0,2459.278666666667,97.55666666666667,1
2786.5,2459.736,97.91333333333334,1
2787.0,2460.193333333333,92.66666666666667,2
2787.5,2460.6503333333335,91.32333333333334,2
2788.0,2461.107666666667,99.77666666666666,2
2788.5,2461.5646666666667,91.27333333333333,3
2789.0,2462.022,97.60666666666667,3
2789.5,2462.5555,98.605,3
2790.0,2463.0886666666665,98.90333333333332,3
2790.5,2463.546,96.24333333333334,3
2791.0,2464.0033333333336,93.30666666666667,3
2791.5,2464.460333333333,92.43666666666667,3
2792.0,2464.9176666666667,99.16333333333334,3
2792.5,2465.3746666666666,91.19999999999999,3
2793.0,2465.832,96.30666666666667,3
2793.5,2466.2893333333336,101.42666666666666,3
2794.0,2466.746333333333,100.92,3
2794.5,2467.203666666667,98.98333333333335,3
2795.0,2467.6606666666667,96.61,3
2795.5,2468.118,97.42333333333333,3
2796.0,2468.575333333333,103.25999999999999,3
2796.5,2469.032333333333,101.43666666666667,3
2797.0,2469.5657499999998,97.52250000000001,3
2797.5,2470.0993333333336,95.62,2
2798.0,2470.5563333333334,100.13,1
2798.5,2471.0136666666667,90.31,1
2799.0,2471.4706666666666,94.37666666666667,1
2799.5,2471.928,99.04333333333334,1
2800.0,2472.3853333333336,95.01333333333334,1
2800.5,2472.8423333333335,96.83999999999999,1
2801.0,2473.299666666667,97.93333333333334,1
2801.5,2473.7566666666667,100.53666666666668,1
2802.0,2474.214,98.05000000000001,1
2802.5,2474.671333333333,102.10666666666668,1
2803.0,2475.1283333333336,98.98333333333333,1
2803.5,2475.5856666666664,99.04666666666667,1
2804.0,2476.0426666666667,96.78333333333335,1
2804.5,2476.5,92.20333333333333,1
2805.0,2477.0335,75.725,1
2805.5,2477.5666666666666,91.47666666666667,1
2806.0,2478.024,84.61333333333333,1
2806.5,2478.4813333333336,85.16666666666667,1
2807.0,2478.9383333333335,94.03666666666668,1
2807.5,2479.395666666667,99.49666666666667,1
2808.0,2479.8526666666667,79.38000000000001,1
2808.5,2480.31,83.24666666666667,1
2809.0,2480.767333333333,98.38666666666667,1
2809.5,2481.2243333333336,99.72333333333331,1
2810.0,2481.6816666666664,97.47000000000001,1
2810.5,2482.1386666666667,98.23333333333333,2
2811.0,2482.596,102.31333333333333,3
2811.5,2483.0533333333333,95.21666666666665,3
2812.0,2483.5103333333336,91.55333333333333,3
2812.5,2484.04375,99.5675,1
2813.0,2484.577333333333,100.82000000000001,1
2813.5,2485.0343333333335,99.58333333333333,1
2814.0,2485.491666666667,97.51333333333334,1
2814.5,2485.9486666666667,96.87666666666667,1
2815.0,2486.406,98.12666666666667,1
2815.5,2486.8633333333332,97.71666666666665,1
2816.0,2487.3203333333336,101.57666666666667,3
2816.5,2487.777666666667,89.42333333333333,3
2817.0,2488.2346666666667,81.43333333333334,3
2817.5,2488.692,70.01666666666667,2
2818.0,2489.1493333333333,67.53666666666668,2
2818.5,2489.6063333333336,57.59,2
2819.0,2490.063666666667,46.50666666666667,1
2819.5,2490.520666666667,43.196666666666665,1
2820.0,2491.05425,71.7225,1
2820.5,2491.587666666667,95.45333333333333,1
2821.0,2492.0446666666667,89.3,1
2821.5,2492.502,87.04666666666667,1
2822.0,2492.9593333333332,91.29,1
2822.5,2493.416333333333,94.49666666666667,1
2823.0,2493.8736666666664,79.5,1
2823.5,2494.3306666666667,68.81,1
2824.0,2494.788,63.11333333333332,1
2824.5,2495.2453333333333,44.73666666666667,1
2825.0,2495.702333333333,52.03,1
2825.5,2496.1596666666665,63.73333333333333,1
2826.0,2496.616666666667,87.39666666666666,1
2826.5,2497.074,98.41333333333334,1
2827.0,2497.5313333333334,98.42,1
2827.5,2498.0645,95.955,1
2828.0,2498.598,98.81666666666668,1
2828.5,2499.0553333333332,99.81333333333333,1
2829.0,2499.5123333333336,99.29333333333334,1
2829.5,2499.9696666666664,103.24333333333334,1
2830.0,2500.4266666666667,99.70333333333333,1
2830.5,2500.884,98.89666666666666,1
2831.0,2501.3413333333333,102.03666666666668,1
2831.5,2501.798333333333,105.15666666666668,1
2832.0,2502.2556666666665,101.42333333333333,1
2832.5,2502.712666666667,103.59333333333332,1
2833.0,2503.17,103.36000000000001,1
2833.5,2503.6273333333334,103.83999999999999,1
2834.0,2504.0843333333332,103.52666666666666,2
2834.5,2504.5416666666665,103.50666666666667,3
2835.0,2505.075,100.7175,3
