TWT,MD,Gamma,General_Discrete
2665.0,2220.6203333333333,97.14,1
2665.5,2221.0776666666666,96.54666666666667,1
2666.0,2221.5346666666665,98.64666666666666,1
2666.5,2221.992,96.09333333333332,1
2667.0,2222.4493333333335,96.8,1
2667.5,2222.9063333333334,94.71999999999998,1
2668.0,2223.3636666666666,95.23333333333335,1
2668.5,2223.8206666666665,95.70666666666666,1
2669.0,2224.2780000000002,92.77666666666666,1
2669.5,2224.7353333333335,90.55333333333333,1
2670.0,2225.192333333333,95.86000000000001,1
2670.5,2225.6496666666667,95.50333333333333,1
2671.0,2226.1066666666666,95.31,1
2671.5,2226.564,92.36,2
2672.0,2226.945,91.36500000000001,3
2672.5,2227.326,85.70333333333333,3
2673.0,2227.7833333333333,77.30333333333333,3
2673.5,2228.240333333333,77.93,3
2674.0,2228.697666666667,79.0,3
2674.5,2229.154666666667,79.91,3
2675.0,2229.612,78.92333333333333,3
2675.5,2230.0693333333334,80.57000000000001,3
2676.0,2230.5263333333332,86.17333333333333,3
2676.5,2230.983666666667,84.88000000000001,1
2677.0,2231.4406666666664,88.33999999999999,1
2677.5,2231.898,93.16666666666667,1
2678.0,2232.3553333333334,95.00333333333333,1
2678.5,2232.8123333333333,95.06333333333333,1
2679.0,2233.269666666667,91.36333333333333,1
2679.5,2233.7266666666665,84.74333333333333,1
2680.0,2234.1839999999997,84.18666666666667,1
2680.5,2234.6413333333335,87.52666666666666,1
2681.0,2235.0983333333334,81.99666666666667,1
2681.5,2235.5556666666666,75.35666666666667,1
2682.0,2236.0126666666665,75.02333333333333,3
2682.5,2236.47,73.96666666666668,3
2683.0,2236.9273333333335,72.94,3
2683.5,2237.3843333333334,74.53,3
2684.0,2237.7655,63.125,3
2684.5,2238.1463333333336,60.39000000000001,3
2685.0,2238.6036666666664,67.38666666666666,3
2685.5,2239.0606666666667,59.09666666666667,3
2686.0,2239.518,55.31666666666666,3
2686.5,2239.9753333333333,54.35999999999999,3
2687.0,2240.432333333333,62.25,3
2687.5,2240.8896666666665,69.56333333333333,3
2688.0,2241.346666666667,71.48,3
2688.5,2241.804,62.38333333333333,3
2689.0,2242.2613333333334,52.73666666666666,3
2689.5,2242.7183333333332,51.300000000000004,3
2690.0,2243.1756666666665,46.876666666666665,3
2690.5,2243.6326666666664,43.593333333333334,3
2691.0,2244.09,45.529999999999994,3
2691.5,2244.5473333333334,50.879999999999995,3
2692.0,2245.0043333333333,59.193333333333335,3
2692.5,2245.4616666666666,64.42333333333333,3
2693.0,2245.9186666666665,65.89333333333333,3
2693.5,2246.376,61.23,3
2694.0,2246.8333333333335,62.34333333333333,3
2694.5,2247.2903333333334,65.81666666666668,3
2695.0,2247.7476666666666,61.32,3
2695.5,2248.1285,61.6,3
2696.0,2248.509666666667,64.65333333333334,3
2696.5,2248.9666666666667,67.35333333333334,3
2697.0,2249.424,68.5,3
2697.5,2249.8813333333333,75.08999999999999,2
2698.0,2250.3383333333336,75.26666666666667,1
2698.5,2250.795666666667,76.93333333333334,1
2699.0,2251.2526666666668,78.68666666666667,1
2699.5,2251.71,83.48,1
2700.0,2252.1673333333333,89.2,1
2700.5,2252.624333333333,86.94000000000001,1
2701.0,2253.081666666667,79.74333333333333,1
2701.5,2253.538666666667,70.66000000000001,2
2702.0,2253.996,63.81,3
2702.5,2254.4533333333334,59.10666666666666,3
2703.0,2254.9103333333333,49.92666666666667,3
2703.5,2255.367666666667,53.60666666666666,3
2704.0,2255.8246666666664,55.23333333333333,3
2704.5,2256.282,60.339999999999996,3
2705.0,2256.7393333333334,56.03666666666667,3
2705.5,2257.1963333333333,65.31333333333333,3
2706.0,2257.653666666667,71.78333333333335,3
2706.5,2258.1106666666665,68.74,3
2707.0,2258.5679999999998,64.74,3
2707.5,2258.949,63.525000000000006,3
2708.0,2259.33,66.24333333333334,3
2708.5,2259.7873333333337,64.5,3
2709.0,2260.2443333333335,63.89666666666667,3
2709.5,2260.7016666666664,62.720000000000006,3
2710.0,2261.1586666666667,58.11000000000001,3
2710.5,2261.616,61.03,3
2711.0,2262.0733333333333,59.25,3
2711.5,2262.5303333333336,64.2,3
2712.0,2262.9876666666664,62.39333333333334,3
2712.5,2263.4446666666668,64.26333333333334,3
2713.0,2263.902,79.79333333333334,3
2713.5,2264.3593333333333,83.35000000000001,3
2714.0,2264.816333333333,69.00333333333333,3
2714.5,2265.2736666666665,59.81,3
2715.0,2265.730666666667,64.01333333333334,3
2715.5,2266.188,62.35666666666666,3
2716.0,2266.6453333333334,58.23666666666666,3
2716.5,2267.1023333333333,59.586666666666666,3
2717.0,2267.5596666666665,73.35666666666667,1
2717.5,2268.0166666666664,83.53666666666668,1
2718.0,2268.474,88.02,1
2718.5,2268.9313333333334,84.92999999999999,1
2719.0,2269.312,86.65,1
2719.5,2269.693333333333,82.09333333333335,1
2720.0,2270.1503333333335,81.22333333333334,1
2720.5,2270.607666666667,89.95,1
2721.0,2271.0646666666667,100.25666666666666,1
2721.5,2271.522,96.62,1
2722.0,2271.979333333333,85.60333333333334,1
2722.5,2272.4363333333336,85.44,1
2723.0,2272.893666666667,92.08999999999999,1
2723.5,2273.3506666666667,96.28666666666668,1
2724.0,2273.808,86.67333333333333,1
2724.5,2274.2653333333333,85.69666666666667,1
2725.0,2274.7223333333336,89.28666666666668,1
2725.5,2275.179666666667,86.48333333333333,1
2726.0,2275.6366666666668,95.37666666666667,1
2726.5,2276.094,100.88333333333333,1
2727.0,2276.5513333333333,102.64999999999999,1
2727.5,2277.008333333333,99.37333333333333,1
2728.0,2277.465666666667,98.24666666666667,1
2728.5,2277.9226666666664,94.43333333333332,1
2729.0,2278.38,97.01666666666667,1
2729.5,2278.8373333333334,97.20333333333333,1
2730.0,2279.2943333333333,81.24333333333333,3
2730.5,2279.751666666667,72.05333333333334,3
2731.0,2280.1324999999997,63.84,3
2731.5,2280.5136666666667,61.586666666666666,3
2732.0,2280.9706666666666,85.49333333333334,3
2732.5,2281.428,94.61000000000001,3
2733.0,2281.8853333333336,96.61666666666667,2
2733.5,2282.3423333333335,93.26333333333334,1
2734.0,2282.799666666667,83.01333333333332,1
2734.5,2283.2566666666667,81.31333333333333,1
2735.0,2283.714,96.59666666666668,1
2735.5,2284.171333333333,96.03000000000002,1
2736.0,2284.6283333333336,96.68333333333334,1
2736.5,2285.0856666666664,96.44,1
2737.0,2285.5426666666667,97.67333333333333,1
2737.5,2286.0,84.83999999999999,1
2738.0,2286.4573333333333,84.86999999999999,1
2738.5,2286.9143333333336,88.34333333333335,1
2739.0,2287.3716666666664,93.90333333333335,1
2739.5,2287.828666666667,89.55666666666667,1
2740.0,2288.286,89.22666666666667,1
2740.5,2288.7433333333333,96.10333333333334,1
2741.0,2289.200333333333,94.75666666666666,1
2741.5,2289.6576666666665,96.16333333333334,1
2742.0,2290.1146666666664,95.38666666666667,1
2742.5,2290.496,96.42500000000001,1
2743.0,2290.876666666667,97.04,1
2743.5,2291.334,92.61666666666667,1
2744.0,2291.791333333333,90.01333333333332,1
2744.5,2292.2483333333334,90.78333333333335,1
2745.0,2292.7056666666667,90.00333333333333,1
2745.5,2293.162666666667,91.42,1
2746.0,2293.62,90.33999999999999,1
2746.5,2294.077333333333,84.39,1
2747.0,2294.5343333333335,93.74333333333334,1
2747.5,2294.991666666667,95.02,1
2748.0,2295.4486666666667,86.41000000000001,1
2748.5,2295.906,82.75666666666666,1
2749.0,2296.3633333333332,87.3,1
2749.5,2296.8203333333336,84.75,1
2750.0,2297.277666666667,85.70666666666666,1
2750.5,2297.7346666666667,83.15666666666665,1
2751.0,2298.192,87.59666666666665,1
2751.5,2298.6493333333333,90.3,1
2752.0,2299.1063333333336,88.17,1
2752.5,2299.563666666667,88.11666666666667,1
2753.0,2300.020666666667,88.81,1
2753.5,2300.478,90.52,1
2754.0,2300.9353333333333,84.35,1
2754.5,2301.316,85.905,1
2755.0,2301.6973333333335,85.33,1
2755.5,2302.1543333333334,86.30999999999999,1
2756.0,2302.6116666666667,85.93333333333334,1
2756.5,2303.0686666666666,80.80333333333334,1
2757.0,2303.526,78.53,1
2757.5,2303.9833333333336,81.49333333333334,1
2758.0,2304.4403333333335,81.99666666666667,1
2758.5,2304.8976666666667,84.11,1
2759.0,2305.3546666666666,80.83333333333333,1
2759.5,2305.812,78.62333333333333,3
2760.0,2306.2693333333336,66.42666666666666,3
2760.5,2306.7263333333335,60.6,3
2761.0,2307.1836666666663,59.46666666666667,3
2761.5,2307.6406666666667,51.69333333333333,3
