TWT,MD,Gamma,General_Discrete
2665.5,2330.653,96.86,2
2666.0,2330.958,98.79333333333334,1
2666.5,2331.4153333333334,97.40333333333332,1
2667.0,2331.8723333333332,96.83666666666666,1
2667.5,2332.3296666666665,96.94,1
2668.0,2332.786666666667,96.98333333333333,1
2668.5,2333.3202499999998,96.11500000000001,1
2669.0,2333.8536666666664,96.91333333333334,1
2669.5,2334.3106666666667,99.25333333333333,1
2670.0,2334.768,97.94666666666666,1
2670.5,2335.2253333333333,103.17,1
2671.0,2335.682333333333,103.72000000000001,1
2671.5,2336.21575,100.96750000000002,1
2672.0,2336.749333333333,105.36333333333334,1
2672.5,2337.2063333333335,102.93666666666667,1
2673.0,2337.663666666667,101.90333333333335,1
2673.5,2338.1206666666667,103.17333333333333,1
2674.0,2338.578,101.47000000000001,1
2674.5,2339.0353333333333,101.91666666666667,1
2675.0,2339.5685000000003,101.91499999999999,1
2675.5,2340.102,98.96666666666665,1
2676.0,2340.559333333333,96.07666666666667,1
2676.5,2341.0163333333335,92.51333333333334,2
2677.0,2341.4736666666668,94.65666666666665,2
2677.5,2341.9306666666666,97.04666666666667,2
2678.0,2342.388,95.52,2
2678.5,2342.9215,85.13,1
2679.0,2343.4546666666665,81.33333333333333,1
2679.5,2343.9120000000003,99.61666666666667,1
2680.0,2344.3693333333335,99.61666666666666,1
2680.5,2344.826333333333,98.08333333333333,1
2681.0,2345.2836666666667,98.64999999999999,2
2681.5,2345.817,97.3025,2
2682.0,2346.3503333333333,97.12333333333333,1
2682.5,2346.8076666666666,98.37333333333333,1
2683.0,2347.2646666666665,99.11666666666667,1
2683.5,2347.722,100.46999999999998,1
2684.0,2348.1793333333335,96.05666666666667,1
2684.5,2348.6363333333334,95.67333333333333,1
2685.0,2349.16975,98.065,1
2685.5,2349.7033333333334,101.97333333333331,1
2686.0,2350.1603333333333,98.86000000000001,1
2686.5,2350.617666666667,96.98666666666666,1
2687.0,2351.0746666666664,92.01333333333334,1
2687.5,2351.532,99.64333333333333,1
2688.0,2351.9893333333334,97.87333333333333,1
2688.5,2352.5225,97.67000000000002,1
2689.0,2353.056,99.99000000000001,1
2689.5,2353.5133333333333,97.90999999999998,2
2690.0,2353.970333333333,97.69666666666667,2
2690.5,2354.4276666666665,98.87333333333333,2
2691.0,2354.884666666667,99.45333333333333,2
2691.5,2355.4182499999997,100.985,1
2692.0,2355.9516666666664,102.79333333333334,1
2692.5,2356.4086666666667,106.25,1
2693.0,2356.866,103.41666666666667,1
2693.5,2357.3233333333333,101.30333333333333,1
2694.0,2357.7803333333336,100.80333333333334,2
2694.5,2358.2376666666664,98.75,2
2695.0,2358.771,86.6825,1
2695.5,2359.3043333333335,100.07000000000001,1
2696.0,2359.7616666666668,102.60666666666667,1
2696.5,2360.2186666666666,104.50333333333333,1
2697.0,2360.676,101.54,1
2697.5,2361.133333333333,92.26333333333332,1
2698.0,2361.5903333333335,92.82333333333334,1
2698.5,2362.1237499999997,97.045,1
2699.0,2362.657333333333,99.96333333333332,1
2699.5,2363.1143333333334,100.90333333333335,1
2700.0,2363.5716666666667,97.16333333333334,1
2700.5,2364.028666666667,95.85333333333334,1
2701.0,2364.486,96.47666666666667,3
2701.5,2365.0195,85.9175,3
2702.0,2365.5526666666665,70.71333333333332,3
2702.5,2366.01,63.336666666666666,3
2703.0,2366.4673333333335,55.576666666666675,3
2703.5,2366.9243333333334,53.92666666666667,3
2704.0,2367.3816666666667,67.54666666666667,3
2704.5,2367.8386666666665,69.57,3
2705.0,2368.37225,59.775,3
2705.5,2368.9056666666665,57.36333333333334,3
2706.0,2369.3626666666664,68.36333333333334,3
2706.5,2369.82,66.36666666666666,3
2707.0,2370.2773333333334,58.48333333333333,3
2707.5,2370.7343333333333,69.53,2
2708.0,2371.1916666666666,69.14666666666666,1
2708.5,2371.725,76.6,1
2709.0,2372.258333333333,83.17,1
2709.5,2372.715666666667,78.56333333333335,1
2710.0,2373.1726666666664,91.81,1
2710.5,2373.63,96.70666666666666,1
2711.0,2374.0873333333334,97.93666666666665,1
2711.5,2374.6205,93.055,1
2712.0,2375.154,96.50999999999999,1
2712.5,2375.6113333333333,98.62,1
2713.0,2376.068333333333,100.11333333333334,1
2713.5,2376.5256666666664,99.79666666666667,1
2714.0,2376.982666666667,98.50999999999999,1
2714.5,2377.44,100.39333333333333,1
2715.0,2377.9735,99.78000000000002,1
2715.5,2378.5066666666667,96.95666666666666,1
2716.0,2378.964,98.05,2
2716.5,2379.421333333333,95.99,2
2717.0,2379.8783333333336,96.70666666666666,2
2717.5,2380.3356666666664,98.69,1
2718.0,2380.7926666666667,99.62666666666667,1
2718.5,2381.32625,97.4675,1
2719.0,2381.8596666666667,99.01666666666667,1
2719.5,2382.3166666666666,100.64999999999999,1
2720.0,2382.774,100.81,1
2720.5,2383.2313333333336,100.77999999999999,1
2721.0,2383.6883333333335,99.57333333333334,2
2721.5,2384.2217499999997,93.62,2
2722.0,2384.755333333333,98.94333333333333,2
2722.5,2385.2123333333334,98.09666666666668,2
2723.0,2385.6696666666667,85.64333333333333,1
2723.5,2386.126666666667,86.55333333333333,1
2724.0,2386.584,100.86666666666667,1
2724.5,2387.041333333333,102.46333333333332,1
2725.0,2387.5744999999997,101.2975,1
2725.5,2388.108,104.41000000000001,1
2726.0,2388.5653333333335,101.45,1
2726.5,2389.0223333333333,97.49333333333334,1
2727.0,2389.4796666666666,96.64999999999999,1
2727.5,2389.9366666666665,97.12666666666667,2
2728.0,2390.3940000000002,96.36333333333334,2
2728.5,2390.9275,97.1575,2
2729.0,2391.4606666666664,96.21,2
2729.5,2391.918,99.24000000000001,1
2730.0,2392.3753333333334,102.61666666666666,1
2730.5,2392.8323333333333,98.44333333333333,1
2731.0,2393.2896666666666,102.84333333333332,1
2731.5,2393.823,100.4075,1
2732.0,2394.3563333333336,100.11666666666667,1
2732.5,2394.813666666667,100.22666666666667,1
2733.0,2395.270666666667,101.84666666666668,1
2733.5,2395.728,102.38333333333333,1
2734.0,2396.1853333333333,100.80333333333333,2
2734.5,2396.642333333333,100.48333333333333,2
2735.0,2397.1757500000003,97.715,2
2735.5,2397.7093333333332,97.63666666666666,1
2736.0,2398.166333333333,100.23333333333333,1
2736.5,2398.6236666666664,105.00333333333333,1
2737.0,2399.0806666666667,100.36333333333333,1
2737.5,2399.538,98.18,1
2738.0,2399.9953333333333,97.31,1
2738.5,2400.5285,95.12,1
2739.0,2401.062,99.88333333333333,2
2739.5,2401.5193333333336,97.67,2
2740.0,2401.9763333333335,97.02,2
2740.5,2402.4336666666663,94.82666666666667,2
2741.0,2402.8906666666667,96.79333333333334,1
2741.5,2403.42425,98.7225,1
2742.0,2403.9576666666667,98.04333333333334,1
2742.5,2404.4146666666666,100.92,1
2743.0,2404.872,100.89666666666666,1
2743.5,2405.3293333333336,101.2,1
2744.0,2405.7863333333335,100.47666666666667,1
2744.5,2406.2436666666667,101.33666666666666,2
2745.0,2406.777,101.02,2
2745.5,2407.3103333333333,101.37333333333333,2
2746.0,2407.7676666666666,102.45666666666666,1
2746.5,2408.224666666667,101.45333333333333,1
2747.0,2408.682,97.40666666666668,1
2747.5,2409.139333333333,100.51666666666667,1
2748.0,2409.5963333333334,102.49666666666667,1
2748.5,2410.12975,99.0875,1
2749.0,2410.6633333333334,96.10666666666667,1
2749.5,2411.1203333333333,97.75666666666666,1
2750.0,2411.5776666666666,103.21999999999998,1
2750.5,2412.0346666666665,104.41666666666667,1
2751.0,2412.492,100.00333333333333,1
2751.5,2413.0254999999997,101.1875,1
2752.0,2413.5586666666663,103.99000000000001,1
2752.5,2414.016,102.19666666666667,1
2753.0,2414.4733333333334,99.44666666666667,1
2753.5,2414.9303333333332,97.04,1
2754.0,2415.3876666666665,96.29,2
2754.5,2415.8446666666664,97.35000000000001,3
2755.0,2416.37825,91.27,3
2755.5,2416.911666666667,94.76333333333334,3
2756.0,2417.3686666666667,98.80333333333333,3
2756.5,2417.826,96.25333333333333,3
2757.0,2418.2833333333333,95.17,3
2757.5,2418.740333333333,87.84666666666665,3
2758.0,2419.197666666667,87.98666666666666,3
2758.5,2419.7309999999998,90.9325,3
2759.0,2420.264333333333,93.58,3
2759.5,2420.721666666667,88.59333333333335,3
2760.0,2421.1786666666667,80.0,3
2760.5,2421.636,75.18666666666667,3
2761.0,2422.0933333333332,84.53666666666668,3
2761.5,2422.6265,70.51,3
2762.0,2423.16,68.52333333333334,2
2762.5,2423.6173333333336,77.64333333333333,1
2763.0,2424.0743333333335,79.53333333333333,1
2763.5,2424.5316666666668,86.58,1
2764.0,2424.9886666666666,99.26666666666667,1
2764.5,2425.446,100.41333333333334,1
2765.0,2425.9795000000004,100.675,1
2765.5,2426.5126666666665,99.67666666666668,1
2766.0,2426.97,100.79333333333334,1
2766.5,2427.4273333333335,99.21333333333332,1
2767.0,2427.8843333333334,97.30333333333333,1
2767.5,2428.3416666666667,96.14,1
