TWT,MD,Gamma,General_Discrete
2665.0,2342.688,96.32000000000001,4
2665.5,2343.2214999999997,95.39500000000001,2
2666.0,2343.7546666666667,96.33999999999999,2
2666.5,2344.212,92.24333333333334,1
2667.0,2344.7455,91.3325,1
2667.5,2345.278666666667,87.38333333333333,1
2668.0,2345.736,85.71,1
2668.5,2346.2695,87.2525,8
2669.0,2346.8026666666665,88.0,8
2669.5,2347.26,85.06666666666666,8
2670.0,2347.7173333333335,93.98,8
2670.5,2348.2505,86.05999999999999,8
2671.0,2348.784,77.64999999999999,8
2671.5,2349.2413333333334,84.60666666666667,8
2672.0,2349.7745,79.485,8
2672.5,2350.308,70.60333333333334,8
2673.0,2350.7653333333333,81.91000000000001,8
2673.5,2351.2985,85.9125,4
2674.0,2351.832,91.79666666666667,2
2674.5,2352.2893333333336,90.71,2
2675.0,2352.8224999999998,91.67,7
2675.5,2353.356,94.66666666666667,8
2676.0,2353.8133333333335,94.69,2
2676.5,2354.3464999999997,88.24000000000001,2
2677.0,2354.88,92.24000000000001,2
2677.5,2355.3373333333334,92.67666666666666,8
2678.0,2355.7943333333333,90.75999999999999,8
2678.5,2356.3277500000004,94.75,8
2679.0,2356.8613333333333,89.50666666666666,8
2679.5,2357.318333333333,95.05333333333334,8
2680.0,2357.85175,94.51,8
2680.5,2358.3853333333336,97.07000000000001,8
2681.0,2358.8423333333335,104.80666666666667,8
2681.5,2359.37575,98.4225,8
2682.0,2359.9093333333335,96.33333333333333,8
2682.5,2360.3663333333334,95.70666666666666,8
2683.0,2360.89975,93.60000000000001,8
2683.5,2361.433333333333,94.55,8
2684.0,2361.8903333333333,88.95333333333333,8
2684.5,2362.3476666666666,86.37,8
2685.0,2362.8810000000003,90.86500000000001,8
2685.5,2363.4143333333336,93.35333333333334,8
2686.0,2363.8716666666664,85.44333333333334,8
2686.5,2364.405,90.5475,8
2687.0,2364.9383333333335,103.40666666666665,8
2687.5,2365.395666666667,97.74666666666667,6
2688.0,2365.929,92.98,2
2688.5,2366.4623333333334,89.83333333333333,2
2689.0,2366.9196666666667,85.93666666666667,4
2689.5,2367.4530000000004,91.62,8
2690.0,2367.9863333333333,94.49333333333334,8
2690.5,2368.4436666666666,89.74000000000001,2
2691.0,2368.977,89.45750000000001,2
2691.5,2369.5103333333336,92.23,2
2692.0,2369.9676666666664,90.03333333333335,2
2692.5,2370.424666666667,88.36666666666667,1
2693.0,2370.95825,88.29499999999999,1
2693.5,2371.491666666667,87.98333333333333,1
2694.0,2371.9486666666667,91.04666666666667,1
2694.5,2372.48225,95.91499999999999,1
2695.0,2373.0156666666667,97.42333333333333,1
2695.5,2373.4726666666666,96.27666666666666,1
2696.0,2374.00625,95.55499999999999,1
2696.5,2374.5396666666666,93.94666666666667,1
2697.0,2374.9966666666664,88.87,1
2697.5,2375.5302500000003,98.47999999999999,1
2698.0,2376.063666666667,97.41333333333334,2
2698.5,2376.520666666667,97.10666666666667,2
2699.0,2377.05425,95.195,2
2699.5,2377.587666666667,97.89666666666666,1
2700.0,2378.0446666666667,91.14,1
2700.5,2378.502,89.60000000000001,1
